Year,Month,Day,Percentage
1994,4,17,0.001394393
1994,4,18,0.0024164596
1994,4,19,0.003580774
1994,4,20,0.0028551533
1994,4,21,0.0019581788
1994,4,22,0.0022226854
1994,4,23,0.0017719568
1994,4,24,0.0016104238
1994,4,25,0.008478699
1994,4,26,0.008707767
1994,4,27,0.01610228
1994,4,28,0.0086326925
1994,4,29,0.00752144
1994,4,30,0.006290285
1994,5,1,0.0023519036
1994,5,2,0.008266759
1994,5,3,0.004495781
1994,5,4,0.003387487
1994,5,5,0.00639022
1994,5,6,0.0028356041
1994,5,7,0.0034722222
1994,5,8,0.0026907134
1994,5,9,0.002558429
1994,5,10,0.0032393686
1994,5,11,0.0026235846
1994,5,12,0.0049785646
1994,5,13,0.002844654
1994,5,14,0.0028733402
1994,5,15,0.0014643433
1994,5,16,0.005455048
1994,5,17,0.0048229294
1994,5,18,0.003582254
1994,5,19,0.0020821765
1994,5,20,0.0019831771
1994,5,21,0.003274943
1994,5,22,0.0018814675
1994,5,23,0.003438553
1994,5,24,0.0032360232
1994,5,25,0.010936527
1994,5,26,0.011268197
1994,5,27,0.0036046028
1994,5,28,0.0013756271
1994,5,29,0.0027826363
1994,5,30,0.0018706382
1994,5,31,0.0022722578
1994,6,1,0.0025403365
1994,6,2,0.0038162642
1994,6,3,0.0016621649
1994,6,4,0.0022112085
1994,6,5,0.0018158047
1994,6,6,0.0057233484
1994,6,7,0.004145078
1994,6,8,0.0019271801
1994,6,9,0.0018612988
1994,6,10,0.0023009344
1994,6,11,0.0067068576
1994,6,12,0.0023138106
1994,6,13,0.009539725
1994,6,14,0.0043646945
1994,6,15,0.0044778176
1994,6,16,0.01042463
1994,6,17,0.005368847
1994,6,18,0.0041991603
1994,6,19,0.0047663753
1994,6,20,0.0071280277
1994,6,21,0.01086807
1994,6,22,0.0040544253
1994,6,23,0.0060576857
1994,6,24,0.009062171
1994,6,25,0.009863997
1994,6,26,0.0033996382
1994,6,27,0.0069387197
1994,6,28,0.0030357388
1994,6,29,0.028997514
1994,6,30,0.018522358
1994,7,1,0.007563256
1994,7,2,0.0041252864
1994,7,3,0.0071875
1994,7,4,0.0044784746
1994,7,5,0.0068240752
1994,7,6,0.008169378
1994,7,7,0.012838998
1994,7,8,0.01636538
1994,7,9,0.009989716
1994,7,10,0.0047426913
1994,7,11,0.0035206499
1994,7,12,0.008371334
1994,7,13,0.007550507
1994,7,14,0.017633442
1994,7,15,0.006528761
1994,7,16,0.0017692591
1994,7,17,0.001977401
1994,7,18,0.00862889
1994,7,19,0.0034118048
1994,7,20,0.005060521
1994,7,21,0.017474132
1994,7,22,0.015816256
1994,7,23,0.014982656
1994,7,24,0.004200783
1994,7,25,0.0092674615
1994,7,26,0.023397762
1994,7,27,0.0069392477
1994,7,28,0.008319127
1994,7,29,0.0044891853
1994,7,30,0.007994133
1994,7,31,0.005270185
1994,8,1,0.0063127885
1994,8,2,0.009932648
1994,8,3,0.0069180685
1994,8,4,0.0067692306
1994,8,5,0.0039310344
1994,8,6,0.0023553658
1994,8,7,0.006651571
1994,8,8,0.0029016803
1994,8,9,0.001949842
1994,8,10,0.001080862
1994,8,11,0.0039870255
1994,8,12,0.00244532
1994,8,13,0.005616732
1994,8,14,0.014527674
1994,8,15,0.0074535846
1994,8,16,0.0035321289
1994,8,17,0.0032573289
1994,8,18,0.0019649027
1994,8,19,0.0057069096
1994,8,20,0.0068839253
1994,8,21,0.0058085998
1994,8,22,0.012693083
1994,8,23,0.0047763204
1994,8,24,0.0022857143
1994,8,25,0.0026934212
1994,8,26,0.00463772
1994,8,27,0.0039349995
1994,8,28,0.0030164854
1994,8,29,0.0027426584
1994,8,30,0.0030266345
1994,8,31,0.017240213
1994,9,1,0.008923139
1994,9,2,0.0017635488
1994,9,3,0.002014567
1994,9,4,0.0020581018
1994,9,5,0.001560948
1994,9,6,0.0012823108
1994,9,7,0.0024837216
1994,9,8,0.0042810547
1994,9,9,0.0052260077
1994,9,10,0.004531273
1994,9,11,0.004126058
1994,9,12,0.0033256414
1994,9,13,0.0051295897
1994,9,14,0.0066830334
1994,9,15,0.005976637
1994,9,16,0.003195757
1994,9,17,0.0036144578
1994,9,18,0.0026645542
1994,9,19,0.0031281877
1994,9,20,0.0025809957
1994,9,21,0.0028457213
1994,9,22,0.0040155174
1994,9,23,0.0064939503
1994,9,24,0.0044713905
1994,9,25,0.004239724
1994,9,26,0.0040190737
1994,9,27,0.011491922
1994,9,28,0.004550703
1994,9,29,0.0025159798
1994,9,30,0.0017715999
1994,10,1,0.001800045
1994,10,2,0.002225253
1994,10,3,0.0023794957
1994,10,4,0.0057772403
1994,10,5,0.0022686329
1994,10,6,0.0037657185
1994,10,7,0.009711357
1994,10,8,0.003927963
1994,10,9,0.0023434171
1994,10,10,0.002477236
1994,10,11,0.0018108652
1994,10,12,0.0024813896
1994,10,13,0.003408863
1994,10,14,0.0018916363
1994,10,15,0.002960989
1994,10,16,0.0006376648
1994,10,17,0.006719153
1994,10,18,0.018025985
1994,10,19,0.005580582
1994,10,20,0.014324324
1994,10,21,0.010979389
1994,10,22,0.0060084565
1994,10,23,0.0022748276
1994,10,24,0.0061540543
1994,10,25,0.0026338894
1994,10,26,0.002426203
1994,10,27,0.0031592392
1994,10,28,0.002492086
1994,10,29,0.0016312004
1994,10,30,0.0019846896
1994,10,31,0.01561974
1994,11,1,0.018539898
1994,11,2,0.008297645
1994,11,3,0.0038398246
1994,11,4,0.005020012
1994,11,5,0.0118672075
1994,11,6,0.002988048
1994,11,7,0.0041969223
1994,11,8,0.0026121903
1994,11,9,0.0083817765
1994,11,10,0.0072769313
1994,11,11,0.0023627894
1994,11,12,0.004319976
1994,11,13,0.0026117032
1994,11,14,0.0046694186
1994,11,15,0.0047905
1994,11,16,0.008544111
1994,11,17,0.0070757926
1994,11,18,0.0065892264
1994,11,19,0.0048686927
1994,11,20,0.004580045
1994,11,21,0.009336942
1994,11,22,0.0033202332
1994,11,23,0.0013551053
1994,11,24,0.0012148559
1994,11,25,0.0030379307
1994,11,26,0.0023640662
1994,11,27,0.017026756
1994,11,28,0.015544398
1994,11,29,0.0047098976
1994,11,30,0.0035608707
1994,12,1,0.0112336315
1994,12,2,0.0066824164
1994,12,3,0.009710881
1994,12,4,0.005678592
1994,12,5,0.027564146
1994,12,6,0.037264086
1994,12,7,0.02906136
1994,12,8,0.008653326
1994,12,9,0.0084520485
1994,12,10,0.0059661423
1994,12,11,0.0053679897
1994,12,12,0.0063462057
1994,12,13,0.009178027
1994,12,14,0.009224717
1994,12,15,0.007499318
1994,12,16,0.006005596
1994,12,17,0.005788068
1994,12,18,0.0051343367
1994,12,19,0.005696669
1994,12,20,0.007866075
1994,12,21,0.012358185
1994,12,22,0.007048399
1994,12,23,0.005168132
1994,12,24,0.0064027486
1994,12,25,0.0063044834
1994,12,26,0.01077893
1994,12,27,0.008909432
1994,12,28,0.005640234
1994,12,29,0.0036188178
1994,12,30,0.0056412695
1994,12,31,0.009920635
1995,1,1,0.01058201
1995,1,2,0.010852713
1995,1,3,0.017752621
1995,1,4,0.02272874
1995,1,5,0.02155619
1995,1,6,0.06094487
1995,1,7,0.025718391
1995,1,8,0.01808698
1995,1,9,0.05305884
1995,1,10,0.043937307
1995,1,11,0.12992796
1995,1,12,0.096180305
1995,1,13,0.028746897
1995,1,14,0.027137142
1995,1,15,0.019543303
1995,1,16,0.020290613
1995,1,17,0.01690141
1995,1,18,0.03113529
1995,1,19,0.046050046
1995,1,20,0.028532164
1995,1,21,0.013019129
1995,1,22,0.021746587
1995,1,23,0.025684707
1995,1,24,0.017569162
1995,1,25,0.017436907
1995,1,26,0.013953488
1995,1,27,0.021305798
1995,1,28,0.033476457
1995,1,29,0.01742232
1995,1,30,0.013759664
1995,1,31,0.020346548
1995,2,1,0.015413879
1995,2,2,0.010027527
1995,2,3,0.025268395
1995,2,4,0.15156159
1995,2,5,0.04376247
1995,2,6,0.020525936
1995,2,7,0.022597386
1995,2,8,0.017991494
1995,2,9,0.0148932
1995,2,10,0.020539906
1995,2,11,0.023754178
1995,2,12,0.015283394
1995,2,13,0.022941176
1995,2,14,0.044241987
1995,2,15,0.04638365
1995,2,16,0.012823869
1995,2,17,0.009917786
1995,2,18,0.015910085
1995,2,19,0.015008606
1995,2,20,0.010059833
1995,2,21,0.01412688
1995,2,22,0.0129538765
1995,2,23,0.011573166
1995,2,24,0.011095157
1995,2,25,0.010683916
1995,2,26,0.010346718
1995,2,27,0.014763845
1995,2,28,0.03239641
1995,3,1,0.014351547
1995,3,2,0.038849015
1995,3,3,0.017467823
1995,3,4,0.013847967
1995,3,5,0.015393111
1995,3,6,0.028129118
1995,3,7,0.034589536
1995,3,8,0.030961791
1995,3,9,0.020604305
1995,3,10,0.012024443
1995,3,11,0.0099837305
1995,3,12,0.0077941786
1995,3,13,0.01784891
1995,3,14,0.016338361
1995,3,15,0.017523056
1995,3,16,0.0148791885
1995,3,17,0.011370358
1995,3,18,0.009461856
1995,3,19,0.0052457205
1995,3,20,0.015277229
1995,3,21,0.015280248
1995,3,22,0.015415019
1995,3,23,0.013101587
1995,3,24,0.008345929
1995,3,25,0.014264598
1995,3,26,0.007591442
1995,3,27,0.01225135
1995,3,28,0.014165239
1995,3,29,0.014626433
1995,3,30,0.014028848
1995,3,31,0.009862581
1995,4,1,0.00766141
1995,4,2,0.007336501
1995,4,3,0.0075997887
1995,4,4,0.012364454
1995,4,5,0.014098491
1995,4,6,0.013749339
1995,4,7,0.010492279
1995,4,8,0.009288846
1995,4,9,0.022771452
1995,4,10,0.0392118
1995,4,11,0.02284012
1995,4,12,0.015092341
1995,4,13,0.007670943
1995,4,14,0.008305647
1995,4,15,0.006737031
1995,4,16,0.008304257
1995,4,17,0.00892562
1995,4,18,0.024818001
1995,4,19,0.03053789
1995,4,20,0.010912699
1995,4,21,0.008652004
1995,4,22,0.011078067
1995,4,23,0.0056246095
1995,4,24,0.0118590165
1995,4,25,0.010147234
1995,4,26,0.009283204
1995,4,27,0.0086806705
1995,4,28,0.008534004
1995,4,29,0.00940088
1995,4,30,0.02285275
1995,5,1,0.028724832
1995,5,2,0.023669431
1995,5,3,0.019934444
1995,5,4,0.018254496
1995,5,5,0.018031806
1995,5,6,0.017500376
1995,5,7,0.020216301
1995,5,8,0.026910946
1995,5,9,0.027714401
1995,5,10,0.02596967
1995,5,11,0.019660471
1995,5,12,0.0053363955
1995,5,13,0.007839854
1995,5,14,0.005545681
1995,5,15,0.015498652
1995,5,16,0.011321518
1995,5,17,0.012267457
1995,5,18,0.017392477
1995,5,19,0.011574697
1995,5,20,0.0077313725
1995,5,21,0.0037583322
1995,5,22,0.008674018
1995,5,23,0.010965355
1995,5,24,0.013391656
1995,5,25,0.013923455
1995,5,26,0.0064382
1995,5,27,0.0062832288
1995,5,28,0.0072082286
1995,5,29,0.008464931
1995,5,30,0.009145317
1995,5,31,0.009291678
1995,6,1,0.013112769
1995,6,2,0.0137556195
1995,6,3,0.009612496
1995,6,4,0.007032349
1995,6,5,0.014740368
1995,6,6,0.014552038
1995,6,7,0.010989011
1995,6,8,0.013322622
1995,6,9,0.00888978
1995,6,10,0.026599301
1995,6,11,0.013382167
1995,6,12,0.011556033
1995,6,13,0.01042227
1995,6,14,0.012796336
1995,6,15,0.0118776
1995,6,16,0.006484824
1995,6,17,0.0062628943
1995,6,18,0.0066484706
1995,6,19,0.0112494975
1995,6,20,0.011786766
1995,6,21,0.013257449
1995,6,22,0.013506285
1995,6,23,0.010212255
1995,6,24,0.007800427
1995,6,25,0.0072012865
1995,6,26,0.019115092
1995,6,27,0.037287004
1995,6,28,0.032602888
1995,6,29,0.01156108
1995,6,30,0.007275397
1995,7,1,0.0057134377
1995,7,2,0.0054049995
1995,7,3,0.007475884
1995,7,4,0.014320493
1995,7,5,0.018408194
1995,7,6,0.025237015
1995,7,7,0.016062383
1995,7,8,0.0072085327
1995,7,9,0.005031095
1995,7,10,0.008212592
1995,7,11,0.012350624
1995,7,12,0.0090763485
1995,7,13,0.011012481
1995,7,14,0.010327137
1995,7,15,0.014918792
1995,7,16,0.010886253
1995,7,17,0.022604521
1995,7,18,0.01533947
1995,7,19,0.012466666
1995,7,20,0.011665111
1995,7,21,0.009914166
1995,7,22,0.012482561
1995,7,23,0.013038628
1995,7,24,0.013597281
1995,7,25,0.019802641
1995,7,26,0.016996602
1995,7,27,0.01453721
1995,7,28,0.01723335
1995,7,29,0.009404158
1995,7,30,0.011228902
1995,7,31,0.01567189
1995,8,1,0.05027337
1995,8,2,0.046895817
1995,8,3,0.016264498
1995,8,4,0.011693575
1995,8,5,0.010340276
1995,8,6,0.010648664
1995,8,7,0.016323538
1995,8,8,0.017251715
1995,8,9,0.022303594
1995,8,10,0.018715866
1995,8,11,0.011365903
1995,8,12,0.008147387
1995,8,13,0.009610697
1995,8,14,0.014915435
1995,8,15,0.024248885
1995,8,16,0.020245072
1995,8,17,0.017784586
1995,8,18,0.0120329745
1995,8,19,0.012922173
1995,8,20,0.0078005292
1995,8,21,0.012656542
1995,8,22,0.010991939
1995,8,23,0.010522811
1995,8,24,0.0133937495
1995,8,25,0.011100771
1995,8,26,0.009829091
1995,8,27,0.008481056
1995,8,28,0.031093948
1995,8,29,0.015840266
1995,8,30,0.01723335
1995,8,31,0.011122952
1995,9,1,0.009744377
1995,9,2,0.006441352
1995,9,3,0.0075770193
1995,9,4,0.006945439
1995,9,5,0.011688485
1995,9,6,0.018960532
1995,9,7,0.01784632
1995,9,8,0.010559591
1995,9,9,0.011691987
1995,9,10,0.0067328135
1995,9,11,0.0108783785
1995,9,12,0.00988758
1995,9,13,0.011714518
1995,9,14,0.00988758
1995,9,15,0.013666193
1995,9,16,0.015767131
1995,9,17,0.011486872
1995,9,18,0.0132060135
1995,9,19,0.014827353
1995,9,20,0.01205717
1995,9,21,0.013263856
1995,9,22,0.0119039565
1995,9,23,0.00894685
1995,9,24,0.008132401
1995,9,25,0.016120292
1995,9,26,0.0154408775
1995,9,27,0.013011657
1995,9,28,0.009146341
1995,9,29,0.01008665
1995,9,30,0.008887201
1995,10,1,0.00478674
1995,10,2,0.023416819
1995,10,3,0.013033738
1995,10,4,0.023090465
1995,10,5,0.02021773
1995,10,6,0.007775524
1995,10,7,0.008383507
1995,10,8,0.0058387923
1995,10,9,0.006423693
1995,10,10,0.009468416
1995,10,11,0.008115237
1995,10,12,0.007225336
1995,10,13,0.013510775
1995,10,14,0.010575168
1995,10,15,0.007260303
1995,10,16,0.0069566392
1995,10,17,0.010675675
1995,10,18,0.011414291
1995,10,19,0.00810537
1995,10,20,0.00884418
1995,10,21,0.011568612
1995,10,22,0.0076813656
1995,10,23,0.015735801
1995,10,24,0.008716216
1995,10,25,0.007635135
1995,10,26,0.008038911
1995,10,27,0.011006077
1995,10,28,0.0115584815
1995,10,29,0.0046438524
1995,10,30,0.011550932
1995,10,31,0.023841778
1995,11,1,0.021789147
1995,11,2,0.01877744
1995,11,3,0.01081008
1995,11,4,0.013722785
1995,11,5,0.0074301637
1995,11,6,0.016745443
1995,11,7,0.019585332
1995,11,8,0.014587695
1995,11,9,0.00958294
1995,11,10,0.01572518
1995,11,11,0.043458268
1995,11,12,0.011051693
1995,11,13,0.013632069
1995,11,14,0.029916262
1995,11,15,0.02781153
1995,11,16,0.01562921
1995,11,17,0.013734599
1995,11,18,0.010615549
1995,11,19,0.011698409
1995,11,20,0.019622387
1995,11,21,0.0074812965
1995,11,22,0.0019413576
1995,11,23,0.0044757035
1995,11,24,0.006531854
1995,11,25,0.0041624913
1995,11,26,0.0029424129
1995,11,27,0.013414223
1995,11,28,0.010718619
1995,11,29,0.024539877
1995,11,30,0.014790302
1995,12,1,0.020089285
1995,12,2,0.008956595
1995,12,3,0.007145409
1995,12,4,0.012029465
1995,12,5,0.016421137
1995,12,6,0.014530954
1995,12,7,0.015806539
1995,12,8,0.068520896
1995,12,9,0.059822522
1995,12,10,0.030300865
1995,12,11,0.030679822
1995,12,12,0.030667387
1995,12,13,0.062373158
1995,12,14,0.0584486
1995,12,15,0.026262626
1995,12,16,0.011962273
1995,12,17,0.017517624
1995,12,18,0.03514205
1995,12,19,0.14467484
1995,12,20,0.07807242
1995,12,21,0.019947613
1995,12,22,0.012939126
1995,12,23,0.007674189
1995,12,24,0.006748875
1995,12,25,0.012336277
1995,12,26,0.009613432
1995,12,27,0.01028069
1995,12,28,0.01143824
1995,12,29,0.011920081
1995,12,30,0.0048454083
1995,12,31,0.017306652
1996,1,1,0.030900722
1996,1,2,0.06725795
1996,1,3,0.0719231
1996,1,4,0.028392652
1996,1,5,0.029633114
1996,1,6,0.050718512
1996,1,7,0.2597875
1996,1,8,0.290146
1996,1,9,0.1692756
1996,1,10,0.05157224
1996,1,11,0.08941384
1996,1,12,0.11105103
1996,1,13,0.019663788
1996,1,14,0.014818527
1996,1,15,0.0144937355
1996,1,16,0.044500135
1996,1,17,0.09472544
1996,1,18,0.13820423
1996,1,19,0.07088317
1996,1,20,0.025360364
1996,1,21,0.016744185
1996,1,22,0.021627467
1996,1,23,0.04326663
1996,1,24,0.031767488
1996,1,25,0.026543293
1996,1,26,0.0391363
1996,1,27,0.05100785
1996,1,28,0.02975041
1996,1,29,0.030890903
1996,1,30,0.038271688
1996,1,31,0.035760157
1996,2,1,0.057691008
1996,2,2,0.11855601
1996,2,3,0.13802384
1996,2,4,0.05540087
1996,2,5,0.03324998
1996,2,6,0.026661253
1996,2,7,0.019826017
1996,2,8,0.024054984
1996,2,9,0.020586653
1996,2,10,0.012482874
1996,2,11,0.011792285
1996,2,12,0.021632185
1996,2,13,0.017600648
1996,2,14,0.02521235
1996,2,15,0.015063887
1996,2,16,0.08216514
1996,2,17,0.022133721
1996,2,18,0.008046555
1996,2,19,0.009408877
1996,2,20,0.041803885
1996,2,21,0.06941738
1996,2,22,0.044844255
1996,2,23,0.036734145
1996,2,24,0.010953069
1996,2,25,0.009349766
1996,2,26,0.020763338
1996,2,27,0.019956995
1996,2,28,0.019545943
1996,2,29,0.016385736
1996,3,1,0.012348165
1996,3,2,0.01816943
1996,3,3,0.014936996
1996,3,4,0.022859825
1996,3,5,0.031113794
1996,3,6,0.05106896
1996,3,7,0.06833255
1996,3,8,0.04816698
1996,3,9,0.009981097
1996,3,10,0.007930326
1996,3,11,0.014072238
1996,3,12,0.01682644
1996,3,13,0.0113605065
1996,3,14,0.010522083
1996,3,15,0.00896741
1996,3,16,0.0056715063
1996,3,17,0.0041061947
1996,3,18,0.017495643
1996,3,19,0.030195262
1996,3,20,0.04697671
1996,3,21,0.014891334
1996,3,22,0.0066322773
1996,3,23,0.008620038
1996,3,24,0.01481429
1996,3,25,0.039101273
1996,3,26,0.0112050455
1996,3,27,0.013548863
1996,3,28,0.0143489335
1996,3,29,0.015875142
1996,3,30,0.009382566
1996,3,31,0.007441531
1996,4,1,0.015800444
1996,4,2,0.010757025
1996,4,3,0.007931174
1996,4,4,0.010150578
1996,4,5,0.01022135
1996,4,6,0.009122969
1996,4,7,0.010928571
1996,4,8,0.013496273
1996,4,9,0.014973477
1996,4,10,0.019406393
1996,4,11,0.007719675
1996,4,12,0.021393603
1996,4,13,0.01303889
1996,4,14,0.006801757
1996,4,15,0.014373027
1996,4,16,0.015716301
1996,4,17,0.011218594
1996,4,18,0.008127351
1996,4,19,0.009187848
1996,4,20,0.012295391
1996,4,21,0.006303563
1996,4,22,0.018753782
1996,4,23,0.017120518
1996,4,24,0.0107092345
1996,4,25,0.008838213
1996,4,26,0.0060806703
1996,4,27,0.006010347
1996,4,28,0.007829739
1996,4,29,0.027740281
1996,4,30,0.025760649
1996,5,1,0.0111629795
1996,5,2,0.007357408
1996,5,3,0.006009859
1996,5,4,0.010099476
1996,5,5,0.0078436965
1996,5,6,0.016911468
1996,5,7,0.012258369
1996,5,8,0.025328394
1996,5,9,0.043680485
1996,5,10,0.02842551
1996,5,11,0.0146084335
1996,5,12,0.0073288744
1996,5,13,0.011174689
1996,5,14,0.016011842
1996,5,15,0.015740616
1996,5,16,0.03193492
1996,5,17,0.014841179
1996,5,18,0.0093886135
1996,5,19,0.0054648686
1996,5,20,0.021992063
1996,5,21,0.02978752
1996,5,22,0.01472764
1996,5,23,0.011024469
1996,5,24,0.020199986
1996,5,25,0.009153142
1996,5,26,0.010237319
1996,5,27,0.00662205
1996,5,28,0.020369748
1996,5,29,0.019091154
1996,5,30,0.013644307
1996,5,31,0.009139785
1996,6,1,0.01810895
1996,6,2,0.007871802
1996,6,3,0.016532797
1996,6,4,0.01725868
1996,6,5,0.01500737
1996,6,6,0.016320277
1996,6,7,0.012329312
1996,6,8,0.0098799765
1996,6,9,0.013589405
1996,6,10,0.021955425
1996,6,11,0.02322495
1996,6,12,0.027141815
1996,6,13,0.021806853
1996,6,14,0.016861733
1996,6,15,0.010676157
1996,6,16,0.010071049
1996,6,17,0.031730324
1996,6,18,0.029764257
1996,6,19,0.023924075
1996,6,20,0.020908672
1996,6,21,0.013521496
1996,6,22,0.014599065
1996,6,23,0.013734377
1996,6,24,0.037709773
1996,6,25,0.021136498
1996,6,26,0.019161124
1996,6,27,0.016183145
1996,6,28,0.010171271
1996,6,29,0.012504492
1996,6,30,0.01551665
1996,7,1,0.020914173
1996,7,2,0.017105263
1996,7,3,0.016084377
1996,7,4,0.008640692
1996,7,5,0.008087116
1996,7,6,0.007947605
1996,7,7,0.006730307
1996,7,8,0.029135153
1996,7,9,0.027160332
1996,7,10,0.01691457
1996,7,11,0.01669954
1996,7,12,0.029589294
1996,7,13,0.021134833
1996,7,14,0.01637435
1996,7,15,0.024707584
1996,7,16,0.015451377
1996,7,17,0.033144813
1996,7,18,0.03958771
1996,7,19,0.023861028
1996,7,20,0.016546093
1996,7,21,0.013485761
1996,7,22,0.016885677
1996,7,23,0.022406204
1996,7,24,0.02096753
1996,7,25,0.019503547
1996,7,26,0.017696794
1996,7,27,0.018823361
1996,7,28,0.019704433
1996,7,29,0.024455985
1996,7,30,0.02648876
1996,7,31,0.02899027
1996,8,1,0.017984902
1996,8,2,0.014732844
1996,8,3,0.015648445
1996,8,4,0.013467323
1996,8,5,0.015164445
1996,8,6,0.015819877
1996,8,7,0.020220589
1996,8,8,0.02501313
1996,8,9,0.018795023
1996,8,10,0.016726233
1996,8,11,0.01168991
1996,8,12,0.019426396
1996,8,13,0.020488573
1996,8,14,0.017403297
1996,8,15,0.022347838
1996,8,16,0.019739
1996,8,17,0.010878122
1996,8,18,0.009850869
1996,8,19,0.012555877
1996,8,20,0.022136101
1996,8,21,0.017865352
1996,8,22,0.021357693
1996,8,23,0.022651171
1996,8,24,0.0190155
1996,8,25,0.0096780835
1996,8,26,0.017488495
1996,8,27,0.021553423
1996,8,28,0.020358574
1996,8,29,0.014321377
1996,8,30,0.01084884
1996,8,31,0.016047755
1996,9,1,0.011733505
1996,9,2,0.016082475
1996,9,3,0.013015185
1996,9,4,0.015173602
1996,9,5,0.02560191
1996,9,6,0.06385797
1996,9,7,0.018821485
1996,9,8,0.01439754
1996,9,9,0.019448515
1996,9,10,0.019510891
1996,9,11,0.02168546
1996,9,12,0.013337779
1996,9,13,0.016728872
1996,9,14,0.012471234
1996,9,15,0.010006342
1996,9,16,0.016682237
1996,9,17,0.021019619
1996,9,18,0.02122122
1996,9,19,0.011140761
1996,9,20,0.011344678
1996,9,21,0.014994062
1996,9,22,0.009370157
1996,9,23,0.021618737
1996,9,24,0.019479653
1996,9,25,0.01414937
1996,9,26,0.020616494
1996,9,27,0.013866667
1996,9,28,0.014334521
1996,9,29,0.007409498
1996,9,30,0.015317726
1996,10,1,0.0156531
1996,10,2,0.013569243
1996,10,3,0.012303804
1996,10,4,0.010910058
1996,10,5,0.011028051
1996,10,6,0.007863512
1996,10,7,0.017570715
1996,10,8,0.030212285
1996,10,9,0.012712146
1996,10,10,0.010973663
1996,10,11,0.009772637
1996,10,12,0.009690066
1996,10,13,0.0068781585
1996,10,14,0.012177269
1996,10,15,0.012181322
1996,10,16,0.012527487
1996,10,17,0.0205712
1996,10,18,0.021364393
1996,10,19,0.037769385
1996,10,20,0.021624658
1996,10,21,0.043420352
1996,10,22,0.02650153
1996,10,23,0.018381618
1996,10,24,0.011850077
1996,10,25,0.012654856
1996,10,26,0.013686403
1996,10,27,0.017494556
1996,10,28,0.014628632
1996,10,29,0.032238767
1996,10,30,0.025349302
1996,10,31,0.015469393
1996,11,1,0.0145840235
1996,11,2,0.020106446
1996,11,3,0.009794319
1996,11,4,0.015238852
1996,11,5,0.017760105
1996,11,6,0.025974026
1996,11,7,0.02309423
1996,11,8,0.031976167
1996,11,9,0.022681788
1996,11,10,0.015122874
1996,11,11,0.018809192
1996,11,12,0.02336665
1996,11,13,0.027596857
1996,11,14,0.01800609
1996,11,15,0.024755096
1996,11,16,0.027975133
1996,11,17,0.014463387
1996,11,18,0.021232968
1996,11,19,0.047556054
1996,11,20,0.032070357
1996,11,21,0.02887538
